Geo Point,Geo Shape,ID,Fenómeno,Taxonomía,Rpve,Intensidad,Descripción,Fuente,Cvegeo,Alcaldía,Entidad,Área m2,Perime_M,Period_Ret,Intens_Uni,Intens_Num,int2,Prueba
"19.5613716369,-99.1308130153","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.1337722984714, 19.559873792139133], [-99.13349714606261, 19.560442343370426], [-99.13292334570531, 19.561493238924946], [-99.13265839258536, 19.56199677157458], [-99.13244818024913, 19.562344069822068], [-99.13228446201438, 19.562583829310633], [-99.13183704950201, 19.563285800084056], [-99.13177891527302, 19.563318235227264], [-99.13171926183743, 19.563419955474163], [-99.13146159201362, 19.5638213470871], [-99.13140285752904, 19.56379831103829], [-99.13032698907664, 19.563606243543227], [-99.13027126989275, 19.56361583963383], [-99.12935909403005, 19.563493452704222], [-99.12907654932887, 19.563444895747434], [-99.12890168838824, 19.564133247853157], [-99.12884591670262, 19.564452404547648], [-99.12872570606918, 19.564675548851543], [-99.12861718894082, 19.56494156328706], [-99.12856184802284, 19.565042121391702], [-99.12827177683133, 19.56493359515243], [-99.12821317134994, 19.564905089926576], [-99.12818893844317, 19.56489242684578], [-99.12779174394744, 19.564689238440526], [-99.12734866268121, 19.56446429031781], [-99.12751055406099, 19.564192342467], [-99.1276021110669, 19.564020255390655], [-99.12789851010822, 19.563544454795704], [-99.1279414247955, 19.563473978512487], [-99.12803703442592, 19.56331980982452], [-99.12814167853564, 19.563166036096668], [-99.128240687295, 19.563038317209426], [-99.12837030558158, 19.562856168838223], [-99.12845453754183, 19.56273780345759], [-99.12862805825708, 19.56254389248346], [-99.12874547188932, 19.562424488970088], [-99.12898879754492, 19.562166786705887], [-99.12900071991801, 19.562106688193577], [-99.12908027134083, 19.561831237359304], [-99.12909854924965, 19.561756053270027], [-99.1292108287275, 19.561749775214015], [-99.1292468533539, 19.561688270449714], [-99.12930488565864, 19.56122629812595], [-99.12927470942512, 19.561176206476105], [-99.12923059940671, 19.561116750143473], [-99.12919471033139, 19.56085592973679], [-99.12918196760786, 19.560786742570208], [-99.12908945412335, 19.560833391810068], [-99.12895909156072, 19.56084836431689], [-99.1287934496272, 19.560798662721528], [-99.12860048545673, 19.560774872982044], [-99.12896358004535, 19.560048448448896], [-99.1292265551583, 19.55956491544166], [-99.12941125244599, 19.559246891417576], [-99.1297636496594, 19.558569744586254], [-99.13025185741655, 19.558841107026037], [-99.13044670015522, 19.558935568743475], [-99.13069376672927, 19.5590551562355], [-99.1311499247706, 19.559277645859385], [-99.13120649773101, 19.559306533888197], [-99.13201110843794, 19.55972103267094], [-99.13246133056617, 19.55875182974979], [-99.13259749944612, 19.558433567763203], [-99.1330551376846, 19.558600499019605], [-99.1332150805845, 19.55866306748017], [-99.13327355707631, 19.558558258138348], [-99.13424412336808, 19.558918563150904], [-99.13399352197946, 19.55942208022247], [-99.13386097178832, 19.5596927349299], [-99.1337722984714, 19.559873792139133]]]]}",2020.0,Hidrometeorológicos,Inundaciones,Peligro,Bajo,"Análisis del índice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 años, construido con diversos factores, en donde se calcula el porcentaje de área inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Dirección de Análisis de Riesgo de la SPCGIR, 2019.",0900500012733,Gustavo A. Madero,Ciudad de México,241216.55088,2629.47631453,5 años,% de area inundable,26 a 49,2,Prueba
"19.4538329271,-99.0917655976","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.09128463353458, 19.44998173946572], [-99.09155143707251, 19.450229461033594], [-99.09177038154054, 19.4504327466996], [-99.09192578762594, 19.45057703697258], [-99.09213237259102, 19.450761402028217], [-99.09248831762729, 19.451079058410432], [-99.09265346671239, 19.451226525508655], [-99.09289856910678, 19.451411425715616], [-99.09279907658947, 19.45158161374691], [-99.09310461516642, 19.45186683364079], [-99.09355374750277, 19.452146967873926], [-99.09392408215027, 19.452423003624567], [-99.09434436188337, 19.452806136031022], [-99.09341016282092, 19.455249219416835], [-99.09336310591756, 19.455376968629274], [-99.0927361031942, 19.456984750645695], [-99.09223758789061, 19.456813317111507], [-99.09181768086769, 19.456668678043105], [-99.09134317259526, 19.456514035719763], [-99.09097278094893, 19.456382680850037], [-99.09052155153793, 19.45622928812372], [-99.09011052349597, 19.456087164288515], [-99.08965885102235, 19.455935899360718], [-99.0890845626003, 19.455740957961027], [-99.08954183510336, 19.454538505087015], [-99.08965016999758, 19.454253623956745], [-99.08977531922473, 19.453924522222255], [-99.09008279468385, 19.45311595927706], [-99.09049167353346, 19.45204072549922], [-99.0906646630274, 19.4515858065919], [-99.09088554226332, 19.451004946342746], [-99.0909771508908, 19.45076403775545], [-99.09128463353458, 19.44998173946572]]]]}",2029.0,Hidrometeorológicos,Inundaciones,Peligro,Muy Alto,"Análisis del índice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 años, construido con diversos factores, en donde se calcula el porcentaje de área inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Dirección de Análisis de Riesgo de la SPCGIR, 2019.",090050001231A,Gustavo A. Madero,Ciudad de México,237693.951191,2042.78361789,5 años,% de area inundable,100,5,Prueba
"19.5452251469,-99.1411810109","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.1379497047141, 19.544144102144344], [-99.13809452559221, 19.543835870129765], [-99.13860054123046, 19.542853534444372], [-99.13874134136744, 19.542604381928424], [-99.13948907834153, 19.54110105249447], [-99.13998944143216, 19.541298192302385], [-99.14011792080485, 19.541272540859115], [-99.14073667661701, 19.541553050422586], [-99.1413322312203, 19.541822565803358], [-99.14149854870661, 19.541896435044254], [-99.14194423163961, 19.54207341009594], [-99.14238986326282, 19.54225479544652], [-99.1428813154859, 19.54245321280113], [-99.14326282715372, 19.5426025230141], [-99.14332171821644, 19.542610653741903], [-99.14366129771926, 19.54275878990433], [-99.14438193996608, 19.54308292592913], [-99.14478821395896, 19.543264327394645], [-99.145292075467, 19.54347979233956], [-99.14628309735264, 19.54390504977563], [-99.1460373192983, 19.544207306050783], [-99.14585326291653, 19.544442808821007], [-99.14503829963522, 19.545486056919863], [-99.14472542191874, 19.545905026147686], [-99.14449966046367, 19.546211681153466], [-99.14427160188337, 19.546512865485145], [-99.14402311988573, 19.54684573422721], [-99.14377590375896, 19.54715642590986], [-99.14338673323296, 19.547642567221224], [-99.14326712448431, 19.54779252051121], [-99.14310532738884, 19.547995368236734], [-99.14292016059177, 19.548227523105222], [-99.14290013917486, 19.548283583820687], [-99.14270810062149, 19.548591843743484], [-99.14253262831683, 19.549019135201412], [-99.14246296441256, 19.549193258450984], [-99.14235453567257, 19.549473595143194], [-99.14232566188352, 19.54954825699722], [-99.14220035574108, 19.54951151710277], [-99.14182190545097, 19.549308925036065], [-99.14088043045223, 19.54884517254103], [-99.1393197674596, 19.548130409780317], [-99.13910767576343, 19.548018515387188], [-99.1388501070475, 19.547906152167766], [-99.13825886254716, 19.547617033321202], [-99.13747887827225, 19.547255132528864], [-99.13755311249967, 19.54697963242643], [-99.1364894091539, 19.546427649214365], [-99.136917617941, 19.545740394765335], [-99.13712174096942, 19.54541455207209], [-99.13792633299023, 19.5441736203366], [-99.1379497047141, 19.544144102144344]]]]}",2091.0,Hidrometeorológicos,Inundaciones,Peligro,Bajo,"Análisis del índice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 años, construido con diversos factores, en donde se calcula el porcentaje de área inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Dirección de Análisis de Riesgo de la SPCGIR, 2019.",0900500013093,Gustavo A. Madero,Ciudad de México,516393.169214,2930.29677357,5 años,% de area inundable,26 a 49,2,Prueba
"19.4941126614,-99.0703336805","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.07199167052276, 19.496113980247408], [-99.07158269031149, 19.495852910423576], [-99.07117859547856, 19.49559801702846], [-99.07116589081691, 19.495589950127748], [-99.07075903440543, 19.495329888953034], [-99.0703539602164, 19.495067909230933], [-99.07024980758966, 19.495214192223347], [-99.06936897091, 19.496468844692526], [-99.0690857885015, 19.49601809453922], [-99.06880670064155, 19.49557501413869], [-99.06852496230474, 19.49512506513959], [-99.06830658474921, 19.494777832978276], [-99.06802715129365, 19.494332945032884], [-99.06775670889719, 19.493902731616597], [-99.06789461705962, 19.49371159618849], [-99.06858167586005, 19.49272253660259], [-99.06936108475932, 19.491661033550265], [-99.06978038093919, 19.491929543990754], [-99.0701703653388, 19.49217481949825], [-99.07052774019368, 19.492399548255463], [-99.07091035421642, 19.4926470106142], [-99.07131394592518, 19.492907962248076], [-99.07172945883369, 19.493176506516942], [-99.07213229197524, 19.493436695185974], [-99.07253133720305, 19.493694195365485], [-99.0729405351209, 19.493957829548467], [-99.07335117042278, 19.494221500999263], [-99.07259281121114, 19.49528468378102], [-99.07199167052276, 19.496113980247408]]]]}",2101.0,Hidrometeorológicos,Inundaciones,Peligro,Muy Alto,"Análisis del índice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 años, construido con diversos factores, en donde se calcula el porcentaje de área inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Dirección de Análisis de Riesgo de la SPCGIR, 2019.",0900500011059,Gustavo A. Madero,Ciudad de México,163342.390273,1782.81061106,5 años,% de area inundable,100,5,Prueba
"19.4806108318,-99.073594083","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.07096540954552, 19.480008723911162], [-99.0711704176852, 19.479812122743375], [-99.07157380650274, 19.479449975126265], [-99.07187242143473, 19.479182193566277], [-99.07262577084028, 19.478506625986174], [-99.07334910716084, 19.477857966474357], [-99.07374876083952, 19.478279701421414], [-99.07411576750512, 19.478644748583505], [-99.07449783969584, 19.47903380516193], [-99.0748842954869, 19.479429789565923], [-99.07528020479135, 19.479834469734048], [-99.07564866464052, 19.48021046051956], [-99.07607310389236, 19.4806433797608], [-99.07624523990403, 19.48081979421028], [-99.07639638606561, 19.48090744020289], [-99.0765180750193, 19.48094136130872], [-99.0766656050226, 19.480950587989035], [-99.07682454162162, 19.480907315176616], [-99.07690587003093, 19.480874473974257], [-99.07703928777812, 19.48081127063459], [-99.0771646637, 19.480833424968697], [-99.07706596769862, 19.481095238674115], [-99.07684137621585, 19.48159154779941], [-99.07654766313725, 19.48228815911131], [-99.07638865724469, 19.482673732939713], [-99.07587487181587, 19.482565466586337], [-99.07534044366933, 19.48245283602262], [-99.0748516804324, 19.482349829226195], [-99.07437480684486, 19.482249325926066], [-99.07385399323935, 19.482139560431325], [-99.07334686333662, 19.48203267873147], [-99.0728524696141, 19.481928477875805], [-99.07237337119557, 19.48182750093217], [-99.07186556262378, 19.481720468917842], [-99.07144012283145, 19.481630799214162], [-99.07090789368398, 19.481518618695738], [-99.07043828908094, 19.481419635451918], [-99.06997436969237, 19.481321850030206], [-99.06969530701113, 19.481263029570233], [-99.0701537931765, 19.480771556283496], [-99.07050589901226, 19.480452107899747], [-99.07096540954552, 19.480008723911162]]]]}",2141.0,Hidrometeorológicos,Inundaciones,Peligro,Muy Alto,"Análisis del índice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 años, construido con diversos factores, en donde se calcula el porcentaje de área inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Dirección de Análisis de Riesgo de la SPCGIR, 2019.",0900500011684,Gustavo A. Madero,Ciudad de México,201986.730733,2026.82540617,5 años,% de area inundable,100,5,Prueba
"19.5668271917,-99.1301406438","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.13000867788266, 19.569985108224067], [-99.12951738817786, 19.569967657882717], [-99.12914358117318, 19.569892259999737], [-99.12908978900133, 19.569917343182333], [-99.12906153639979, 19.569905372830057], [-99.12890875106794, 19.569888280461527], [-99.12874625927108, 19.569850137806924], [-99.12871907931965, 19.569848226288478], [-99.1286855060434, 19.569856922332203], [-99.12851818281413, 19.569854439143917], [-99.12854691086076, 19.56969325754734], [-99.1285531415269, 19.569579183632936], [-99.12855060634269, 19.569518408090367], [-99.12854630442155, 19.56936432145644], [-99.12853424939532, 19.56923167272357], [-99.12850712272167, 19.56915348547665], [-99.1284795568013, 19.569104379344168], [-99.12843450031095, 19.569003539867012], [-99.12841768784186, 19.568921421130618], [-99.12828669535074, 19.56887515171015], [-99.12824146810202, 19.56833759514534], [-99.12822432226652, 19.5683093563045], [-99.12805961677368, 19.56693059330401], [-99.12804457821099, 19.566834751962794], [-99.12800793577453, 19.566691074403384], [-99.12807414624669, 19.565992117120494], [-99.12808713733621, 19.56592710105059], [-99.12819038902383, 19.565755878640445], [-99.12837324756079, 19.5654526426689], [-99.12847694550713, 19.5652545431593], [-99.12856184802284, 19.565042121391702], [-99.12861718894082, 19.56494156328706], [-99.12872570606918, 19.564675548851543], [-99.12884591670262, 19.564452404547648], [-99.12890168838824, 19.564133247853157], [-99.12907654932887, 19.563444895747434], [-99.12935909403005, 19.563493452704222], [-99.13027126989275, 19.56361583963383], [-99.13032698907664, 19.563606243543227], [-99.13140285752904, 19.56379831103829], [-99.13146159201362, 19.5638213470871], [-99.13155911879885, 19.563888782995157], [-99.13166035558918, 19.56396473119465], [-99.13176570560086, 19.564058542456326], [-99.13187347537263, 19.56420561721542], [-99.13195121819403, 19.56436214122005], [-99.1319670592325, 19.564412543200675], [-99.13201736674928, 19.56457453243539], [-99.13205122345515, 19.564660533714186], [-99.1321479562281, 19.56505823671109], [-99.13224764530747, 19.565465017596615], [-99.13226869487251, 19.565610805151], [-99.13227039704803, 19.565831052480963], [-99.13226830569215, 19.56588359944433], [-99.13226070545858, 19.565923248672455], [-99.13216594224905, 19.566418382996606], [-99.1320815537099, 19.566764028945556], [-99.13199757703492, 19.567125648591723], [-99.13197125305597, 19.5671663905654], [-99.1318447416582, 19.56781660315927], [-99.13180310377916, 19.5681235841193], [-99.13176563384961, 19.568447126684426], [-99.1317472350681, 19.568485475978445], [-99.13170540989533, 19.568612282919393], [-99.1316922588304, 19.568671011770686], [-99.13166431011811, 19.56879580880913], [-99.13162632265517, 19.569008340450175], [-99.13159704359269, 19.56917244494508], [-99.13158001670959, 19.56928242036439], [-99.13153336857987, 19.569343256790532], [-99.13147278487116, 19.56940184251214], [-99.13141601063384, 19.56948986150805], [-99.13137992242532, 19.569581207345024], [-99.13138230795805, 19.569657733959442], [-99.13138962295406, 19.5697851247989], [-99.13140790600693, 19.569949910521593], [-99.13142795269529, 19.570092824929414], [-99.13144133058482, 19.570249262602243], [-99.13075480962351, 19.570212068871363], [-99.13039908446599, 19.570187884058818], [-99.13000605611587, 19.570180366661695], [-99.13000867788266, 19.569985108224067]]]]}",2157.0,Hidrometeorológicos,Inundaciones,Peligro,Muy Bajo,"Análisis del índice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 años, construido con diversos factores, en donde se calcula el porcentaje de área inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Dirección de Análisis de Riesgo de la SPCGIR, 2019.",0900500013233,Gustavo A. Madero,Ciudad de México,261564.124653,2081.45151279,5 años,% de area inundable,0 a 25,1,Prueba
"19.451613063,-99.09963944","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.102202283709, 19.450248486797058], [-99.10254433158815, 19.450373091902904], [-99.10244741289969, 19.450740864166566], [-99.10195075566692, 19.452078264723912], [-99.10142351519647, 19.453488488288748], [-99.10114141598042, 19.454237159104636], [-99.10075024256126, 19.454099731380364], [-99.10093818710003, 19.453597588701722], [-99.10074318101357, 19.45353163344461], [-99.10069183160073, 19.453514264410504], [-99.10023043283819, 19.453356731490857], [-99.09924953648284, 19.453028369934337], [-99.09776159349023, 19.452515580947196], [-99.09692656397112, 19.452238178903738], [-99.0954385387508, 19.45173726962756], [-99.09537375808243, 19.4515674630262], [-99.09592012528773, 19.45135987190499], [-99.09594918541718, 19.451348928787162], [-99.09654015768358, 19.45112638947154], [-99.09696378477578, 19.45096693512552], [-99.09745321433175, 19.45078271152991], [-99.09785798286629, 19.450630350817367], [-99.09797024449269, 19.450588096221953], [-99.09843566396843, 19.45041290498823], [-99.09884689261014, 19.450258112575444], [-99.0989811421439, 19.4502085489764], [-99.09969919822814, 19.449943443305045], [-99.09978840200796, 19.449919738788807], [-99.10025779732142, 19.449838539027642], [-99.1004612111248, 19.449827580336283], [-99.10055671091817, 19.44982753643006], [-99.1007942460086, 19.44983708886988], [-99.10107318864591, 19.449875230343025], [-99.10133750289549, 19.4499352892649], [-99.10136629815027, 19.449942404581883], [-99.10139575929502, 19.44995392544894], [-99.10144341459088, 19.44997127425499], [-99.10186345074862, 19.450124660490783], [-99.10195496549196, 19.45015805270145], [-99.102202283709, 19.450248486797058]]]]}",2161.0,Hidrometeorológicos,Inundaciones,Peligro,Muy Alto,"Análisis del índice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 años, construido con diversos factores, en donde se calcula el porcentaje de área inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Dirección de Análisis de Riesgo de la SPCGIR, 2019.",0900500012305,Gustavo A. Madero,Ciudad de México,183111.907336,1986.19335864,5 años,% de area inundable,100,5,Prueba
"19.4553411877,-99.110969299","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.10871230542627, 19.452813231901274], [-99.1088912911244, 19.452878554571953], [-99.10894589160638, 19.452733640299165], [-99.10946106162156, 19.45291794664297], [-99.1096670830828, 19.452991347441056], [-99.10986842820719, 19.453063077771894], [-99.1101381888305, 19.453159184223875], [-99.11027229322369, 19.453206960541337], [-99.11042496891429, 19.4532613534693], [-99.11072817594297, 19.453369373308902], [-99.11121389420755, 19.4535424125834], [-99.11136171976281, 19.453595076898434], [-99.11142934080013, 19.45362041099863], [-99.11161523622405, 19.453706165493134], [-99.11177512913704, 19.453781281161856], [-99.11186088788317, 19.453829790655146], [-99.11202459467712, 19.45393687014991], [-99.11217708556195, 19.454049723197112], [-99.11229868048189, 19.454139711642682], [-99.11263117140797, 19.454405939548696], [-99.11269439549919, 19.454457058088142], [-99.11303151323382, 19.454729629777678], [-99.1134257899356, 19.45504841715321], [-99.1134973081723, 19.455106241474127], [-99.11388008717849, 19.455397231777017], [-99.1139914345171, 19.455486805390606], [-99.11439019658452, 19.455850765677955], [-99.11434280225994, 19.456094488843036], [-99.11416958391888, 19.45690620054593], [-99.11397300222995, 19.45772375183381], [-99.11339682545949, 19.457596295408646], [-99.11336897236387, 19.45759051289032], [-99.11288795289589, 19.45748826254198], [-99.1123859557692, 19.45738203023666], [-99.11189899238279, 19.457278454102397], [-99.11137681641104, 19.4571658936306], [-99.11134372554349, 19.457157080271124], [-99.11117887086286, 19.457101639563458], [-99.11111111120103, 19.45707781097312], [-99.11076550793202, 19.45695626699221], [-99.11031491530217, 19.456789715432663], [-99.10988209808764, 19.456626193799153], [-99.1094374366954, 19.456464746526603], [-99.10900168709364, 19.45630320896631], [-99.1085956713846, 19.456152624070825], [-99.10817952731703, 19.455992519443182], [-99.10753655057835, 19.45576141953818], [-99.10785804382904, 19.454958972381853], [-99.10809088365082, 19.45437780220265], [-99.1081975183664, 19.45411163812063], [-99.1086179532455, 19.453062205665738], [-99.10871230542627, 19.452813231901274]]]]}",2163.0,Hidrometeorológicos,Inundaciones,Peligro,Muy Alto,"Análisis del índice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 años, construido con diversos factores, en donde se calcula el porcentaje de área inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Dirección de Análisis de Riesgo de la SPCGIR, 2019.",0900500012273,Gustavo A. Madero,Ciudad de México,228236.375974,1986.05025315,5 años,% de area inundable,100,5,Prueba
"19.4634982886,-99.0891434866","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.08994096061805, 19.461581412440015], [-99.09036439327231, 19.461723621703698], [-99.09087903799926, 19.461896432740282], [-99.09046017686394, 19.463044669048426], [-99.09097347042055, 19.463219519809055], [-99.09140597378685, 19.463366849018456], [-99.09187967080489, 19.463528209356106], [-99.0922379355022, 19.46365024777932], [-99.09219112196422, 19.46377570105406], [-99.09182488645986, 19.464757136145], [-99.09138593734733, 19.465932251642318], [-99.09103249615303, 19.465805675300146], [-99.0907883433161, 19.465721062221338], [-99.09054635344748, 19.465637197260634], [-99.0903345897329, 19.465590802795848], [-99.09007682458062, 19.46555851936034], [-99.0895304757432, 19.465486603755085], [-99.0889841406553, 19.46541867552916], [-99.08852630889581, 19.465361748177447], [-99.08803061073273, 19.465300113181815], [-99.08762026275033, 19.46524908843473], [-99.08731307236621, 19.465210890562776], [-99.08718162849625, 19.465070816304383], [-99.08693038326935, 19.464803074263813], [-99.0868221393157, 19.46466639764456], [-99.08672485812569, 19.46449743759954], [-99.08671785300794, 19.46409801800981], [-99.08678977526041, 19.4634724079757], [-99.08721212561974, 19.46066434023285], [-99.08777695487532, 19.46085425697494], [-99.08821281616731, 19.461000772074172], [-99.08864453817426, 19.46114586656416], [-99.08909607424768, 19.46129935985994], [-99.08910420362461, 19.461302092246992], [-99.08947153356024, 19.4614237308541], [-99.08948310094847, 19.46142761683517], [-99.08994096061805, 19.461581412440015]]]]}",2180.0,Hidrometeorológicos,Inundaciones,Peligro,Muy Alto,"Análisis del índice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 años, construido con diversos factores, en donde se calcula el porcentaje de área inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Dirección de Análisis de Riesgo de la SPCGIR, 2019.",0900500012150,Gustavo A. Madero,Ciudad de México,215870.323671,1973.89582616,5 años,% de area inundable,100,5,Prueba
"19.5508788941,-99.1371853893","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.13815687351851, 19.553699289128907], [-99.13811796157863, 19.55376760114065], [-99.13794571865851, 19.554109431248502], [-99.13788582884148, 19.554213506437332], [-99.13744140217293, 19.555109104058065], [-99.13622939600786, 19.554618838329354], [-99.13473882710647, 19.55400637464779], [-99.13453134381291, 19.5538898591335], [-99.1340465447813, 19.55371212774461], [-99.13400999726885, 19.55369603564817], [-99.13357129839609, 19.55351803275543], [-99.13355819863949, 19.553512861325185], [-99.13313109223624, 19.55334337713307], [-99.13267623766284, 19.553146839130058], [-99.13310177528074, 19.552434575699333], [-99.13366708048025, 19.551430032136796], [-99.13435962007449, 19.55019906622167], [-99.13462409103654, 19.54972889876709], [-99.13482941641287, 19.549383681878016], [-99.1351162068283, 19.54887661136339], [-99.13515557315897, 19.548829467687817], [-99.13562677438543, 19.54795304714589], [-99.1357200407752, 19.54777747281999], [-99.13602033948342, 19.547266473799922], [-99.13612419904668, 19.54707931808119], [-99.1364894091539, 19.546427649214365], [-99.13755311249967, 19.54697963242643], [-99.13747887827225, 19.547255132528864], [-99.13825886254716, 19.547617033321202], [-99.1388501070475, 19.547906152167766], [-99.13910767576343, 19.548018515387188], [-99.1393197674596, 19.548130409780317], [-99.14088043045223, 19.54884517254103], [-99.14182190545097, 19.549308925036065], [-99.14220035574108, 19.54951151710277], [-99.14232566188352, 19.54954825699722], [-99.14225936565664, 19.549646038390073], [-99.14021905228162, 19.551590881967623], [-99.1401687715544, 19.551620191300717], [-99.13976011842368, 19.551999879613863], [-99.13970717964143, 19.55204906641341], [-99.13932551586998, 19.55233143361397], [-99.13914267289888, 19.552534344420426], [-99.13888659864229, 19.552841605301488], [-99.13884370968199, 19.552892243712947], [-99.13856149487256, 19.5531792959479], [-99.13851527221246, 19.55323058868827], [-99.13824021256238, 19.553535817396572], [-99.13815687351851, 19.553699289128907]]]]}",2192.0,Hidrometeorológicos,Inundaciones,Peligro,Bajo,"Análisis del índice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 años, construido con diversos factores, en donde se calcula el porcentaje de área inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Dirección de Análisis de Riesgo de la SPCGIR, 2019.",0900500013089,Gustavo A. Madero,Ciudad de México,477272.202136,2926.66321059,5 años,% de area inundable,26 a 49,2,Prueba
