"El número bajo las columnas CDMX, INUNDACION, LLUVIA, GAM indica el numero de noticias que contien esas palabras"
Y las palabras bajo HORARIO y COLONIA son las palabras encontradas en las noticias
[Fecha],[Conteo],[CDMX],[INUNDACION],[LLUVIA],[GAM],HORARIO,COLONIA
2010-01-08,1,1,1,1,0,,
2010-02-05,1,1,1,1,0,,
2010-02-10,1,1,1,1,0,,
2010-03-03,1,1,1,0,0,,
2010-05-10,1,1,1,0,0,,
2010-07-16,1,1,1,0,0,,
2010-07-23,1,1,1,1,0,,
2010-07-06,2,2,2,2,1,Tarde,
2010-07-26,1,1,1,1,0,,
2010-07-09,2,2,2,2,0,,
2010-07-21,2,2,2,2,0,Tarde,
2010-07-12,1,1,1,1,0,,
2010-07-19,1,1,1,0,0,,
2010-07-13,2,2,2,1,0,Noche,
2010-07-05,1,1,1,1,0,,
2010-07-14,1,1,1,0,0,,
2010-07-07,1,1,1,1,0,,
2010-08-06,2,2,2,2,0,,
2010-09-19,1,1,1,0,0,,
2010-10-21,1,1,1,1,0,,
2010-12-21,1,1,1,1,0,,
2011-06-02,1,1,1,1,1,,
2011-07-03,3,3,3,3,1,"Noche, Mañana",
2011-03-22,1,1,1,1,0,,
2011-03-31,1,1,0,0,0,,
2011-04-17,2,2,2,1,1,,
2011-04-16,1,1,1,1,1,Mañana,Vallejo
2011-04-25,1,1,1,1,1,Tarde,
2011-04-19,1,1,1,0,0,,
2011-04-18,1,1,1,1,1,Mañana,
2011-05-24,1,1,1,1,0,,
2011-06-05,1,1,1,1,0,,
2011-06-27,2,2,2,2,1,Noche,
2011-06-30,3,3,3,3,0,"Noche, Mañana",
2011-06-25,1,1,1,1,1,Tarde,
2011-06-28,3,3,3,1,0,Tarde,
2011-06-15,1,1,1,1,0,,
2011-09-06,2,2,2,2,1,Tarde,
2011-07-02,2,2,2,2,0,Mañana,
2011-07-14,1,1,1,1,1,,
2011-07-15,1,1,1,1,0,,
2011-07-13,3,3,3,3,0,Tarde,
2011-07-11,2,2,2,2,2,Tarde,Ticomán
2011-07-18,1,1,1,1,0,Mañana,
2011-07-01,6,6,6,6,0,"Mañana, Tarde",
2011-07-05,3,3,3,3,0,,
2011-07-20,1,1,1,1,0,,
2011-07-07,1,1,1,1,1,Tarde,
2011-07-22,1,1,1,1,0,,
2011-07-23,1,1,1,1,0,,
2011-07-12,1,1,1,1,1,Mañana,Ticomán
2011-07-17,2,2,2,1,1,,
2011-07-10,1,1,1,0,0,,
2011-08-25,1,1,0,1,0,Mañana,
2011-08-31,1,1,1,1,0,,
2011-08-23,1,1,1,1,0,,
2011-09-05,5,5,5,3,2,Mañana,Vallejo
2011-09-04,4,4,4,4,0,Mañana,
2011-09-11,1,1,1,1,0,Mañana,
2011-09-23,3,3,3,2,1,Mañana,
2011-09-08,1,1,1,1,0,Tarde,
2011-09-17,1,1,1,1,0,,
2011-09-07,1,1,1,1,0,,
2011-09-26,1,1,1,1,0,,
2011-09-16,1,1,1,1,0,,
2011-10-08,1,1,1,1,0,,
2011-10-20,1,0,1,0,0,,
2012-02-10,1,1,1,1,0,Mañana,
2012-02-25,1,1,1,1,0,Mañana,
2012-03-29,2,2,2,2,2,Tarde,
2012-03-22,1,1,1,1,1,Tarde,
2012-03-18,1,1,1,1,0,,
2012-04-19,2,2,2,2,1,Tarde,
2012-04-11,1,1,1,1,1,,
2012-04-25,1,1,1,1,0,,
2012-05-12,1,1,1,1,1,,
2012-05-08,1,1,1,1,0,,
2012-05-06,1,1,0,1,0,,
2012-06-30,1,1,1,1,1,,
2012-06-20,2,2,2,2,0,,
2012-06-02,1,1,0,1,0,,
2012-06-28,1,1,1,1,0,Noche,
2012-06-22,1,1,1,1,1,Tarde,
2012-06-16,1,1,1,1,0,,
2012-06-23,1,1,1,1,1,,
2012-06-21,1,1,1,1,0,Tarde,
2012-06-26,1,0,1,1,0,,
2012-06-06,1,1,0,0,0,,
2012-07-09,1,1,1,1,1,Tarde,
2012-07-13,5,5,5,4,4,"Noche, Mañana",
2012-07-17,3,3,3,3,3,,
