[Fecha],[Titulo],[Texto],[Snippet],[URL]
8 Ene 2010,El Universal - - Afecta lluvia tránsito en vías primarias,,"8 Ene 2010 ... Ciudad de México | Viernes 08 de enero de 2010 Notimex | El ... Reportes de la 
Secretaría de Seguridad Pública del Distrito Federal (SSP-DF) y ... Hasta el 
momento no se reportan inundaciones, pero sí encharcamientos de ...",http://www.eluniversal.com.mx/notas/650431.html
5 Feb 2010,DF - Baja probabilidad de lluvia en Valle de México - El Universal,,"5 Feb 2010 ... Video Graves inundaciones se registran en Iztapalapa. ... Protección Civil del DF 
informó que para este viernes la probabilidad de lluvia será ...",http://www.eluniversal.com.mx/notas/656537.html
10 Feb 2010,El Universal - - Chocan PAN y PRD por dinero para emergencias,,"10 Feb 2010 ... La ciudad de México sólo cuenta con un presupuesto en la materia por ... la 
Asamblea Legislativa del Distrito Federal (ALDF), por el presupuesto que se ... a 
los afectados por las inundaciones que se registraron por la lluvia ...",http://www.eluniversal.com.mx/notas/657678.html
3 Mar 2010,"DF - Emisor, la solución contra inundaciones - El Universal",,"3 Mar 2010 ... Autoridades federales, del DF y del estado de México construyen el Túnel 
Emisor Oriente (TEO) del drenaje profundo que —dicen— será la ...",http://www.eluniversal.com.mx/ciudad/100584.html
2010-05-10 00:00:00,Vientos derriban 16 árboles y una palmera en el DF | El Economista,,"10 May 2010 ... Vientos derriban 16 árboles y una palmera en el DF ... de este lunes en la ciudad 
de México provocaron la caída de 16 árboles y una palmera ... fin de semana no 
dejaron daños qué lamentar ni se registraron inundaciones.",https://www.eleconomista.com.mx/politica/Vientos-derriban-16-arboles-y-una-palmera-en-el-DF-20100510-0061.html
2010-07-16 00:00:00,Ebrard descarta “gran inundación” en el DF | El Economista,,"16 Jul 2010 ... El Gobierno del Distrito Federal descartó la posibilidad de una gran ... de la 
Ciudad de México (SACM), Ramón Aguirre Díaz, el mandatario local ... habrían 
inundaciones severas en Venustiano Carranza, Iztapalapa y una ...",https://www.eleconomista.com.mx/politica/Ebrard-descarta-gran-inundacion-en-el-DF-20100716-0050.html
23 Jul 2010,El Universal - - Llueve de forma generalizada en DF,,"23 Jul 2010 ... El Gobierno del Distrito Federal se declarÃ³ en alerta permanente ante la 
emergencia ... de deslaves e inundaciones Fernando RamÃrez/ EL UNIVERSAL 
... de lluvias del DF del Sistema de Aguas de la Ciudad de México, ...",http://www.eluniversal.com.mx/notas/697303.html
2010-07-06 00:00:00,Lluvias colapsan vialidades en el DF | El Economista,"México.- La intensa lluvia que sacude al Distrito Federal esta tarde tiene en jaque la vialidad de la ciudad de México.

De acuerdo con reportes de la Secretaría de Protección civil del Distrito Federal las principales delegaciones afectadas son Álvaro Obregón, Cuajimalpa, Benito Juárez, Miguel Hidalgo y Cuauhtémoc.

Esta última demarcación es la más afectada por el nivel de precipitación, ya que la caída se acompañó de granizo.

Reportan 38 encharcamientos

El operativo Unidad Tormenta del Distrito Federal atiende 38 encharcamientos en vialidades de siete delegaciones.

El director de la Unidad Tomenta, Miguel Ricaño, señaló en entrevista que en las demarcaciones Miguel Hidalgo, Alvaro Obregón, Benito Juárez, Cuauhtémoc, Gustavo A. Madero y en Venustiano Carranza, las lluvias dejaron encharcamientos en vialidades con tirantes de 20 a 30 centímetros.

GDF llama a tomar precauciones

La Secretaría de Protección Civil y el Sistema de Aguas de la Ciudad de México iniciaron una campaña para convocar a la población y evitar tirar basura en la calle, pues esa es la principal causa de encharcamientos e inundaciones.

En conferencia de prensa, el secretario de Protección Civil capitalino, Elías Miguel Moreno Brizuela y el director del Sistema de Aguas, Ramón Aguirre, llamaron a los vecinos a adoptar una coladera para mantenerla limpia.

Exhortaron a la población para esta temporada de lluvias a no tirar basura, no verter grasas y solventes en las coladeras, no descuidar el mantenimiento de casas y azoteas, no plantar en los costados de coladeras y reportar encharcamientos a los teléfonos 066; 5654-3210 y 5683-2222 con 10 líneas.

Destacó que los patrones de lluvia se han modificado, por lo que hay que estar preparados para enfrentar esos cambios y esperan para julio-agosto y principios de septiembre las principales precipitaciones pluviales de 11.77 milímetros a 33.51 milímetros de agua por arriba del promedio histórico.

KLM/ apr","6 Jul 2010 ... México.- La intensa lluvia que sacude al Distrito Federal esta tarde tiene ... pues 
esa es la principal causa de encharcamientos e inundaciones.",https://www.eleconomista.com.mx/politica/Lluvias-colapsan-vialidades-en-el-DF--20100706-0015.html
2010-07-26 00:00:00,Prevén lluvias de intensas a fuertes en 28 estados - El Economista,,"26 Jul 2010 ... El Sinaproc informó que en las próximas 24 horas se prevén lluvias intensas ... 
Querétaro, Hidalgo, Colima, Michoacán, México, Distrito Federal, Morelos ... 
encharcamientos y/o inundaciones, aumento en niveles de presas y ...",https://www.eleconomista.com.mx/politica/Preven-lluvias-de-intensas-a-fuertes-en-28-estados-20100726-0037.html
2010-07-06 00:00:00,Lluvias afectan 100 vialidades del DF | El Economista,,"6 Jul 2010 ... Lluvias afectan 100 vialidades del DF ... encharcamientos y las inundaciones 
sigue siendo el problema de basura, pues impide que ... Vía Morelos, la 
autopista México-Pachuca y la vía López Portillo, para que las personas ...",https://www.eleconomista.com.mx/politica/Lluvias-afectan-100-vialidades-del-DF-20100706-0025.html
