[Fecha],[Titulo],[Texto],[Snippet],[URL]
Inundaciones tras lluvia paralizan al DF · CDMX,lluvias DF | El Universal,,"Inundaciones tras lluvia paralizan al DF · CDMX ... Libre acceso a segundo piso 
de Periférico por lluvia ... Prevalecerán precipitaciones en Valle de México.",https://www.eluniversal.com.mx/tag/lluvias-df?page=2
"... México informó de las afectaciones luego de la precipitación en las zonas 
poniente y sur de la capital. Lluvias provocan inundación en Hospital General 
Xoco.",hospital General Xoco | El Universal,,"... México informó de las afectaciones luego de la precipitación en las zonas 
poniente y sur de la capital. Lluvias provocan inundación en Hospital General 
Xoco.",https://www.eluniversal.com.mx/tag/hospital-general-xoco
"Debido a las lluvias, el paradero de Indios Verdes registra una fuerte inundación. 
Por su parte, autoridades aclaran la veracidad de un video que circula sobre ...",paradero de Indios Verdes | El Universal,,"Debido a las lluvias, el paradero de Indios Verdes registra una fuerte inundación. 
Por su parte, autoridades aclaran la veracidad de un video que circula sobre ...",https://www.eluniversal.com.mx/tag/paradero-de-indios-verdes
"... 2015-12-04 never 0.5 http://www.unotv.com/noticias/estados/distrito-federal/
detalle",http://www.unotv.com/noticias/portal/nacional/detalle/se-sentia-en-el ...,,"... 2015-12-04 never 0.5 http://www.unotv.com/noticias/estados/distrito-federal/
detalle ... /entretenimiento/detalle/lupita-nyongo-mexico-230297 2015-12-03 
never 0.5 ... -federal/detalle/habra-reduccion-de-agua-en-azcapozalco-y-la-gam-
244336 ... /detalle/adios-inundaciones-construyen-drenaje-pluvial-en-tlaxcala-
822282 ...",http://www.unotv.com/sitemaps/sitemap-historico_0.xml
"Lluvias colapsan oriente de la CdMx. Las lluvias provocaron inundaciones de 
consideración en Venustiano Carranza, Iztapalapa y el municipio 
Nezahualcóyotl ...",Así se vivió el primer día del Opening Night de la NFL,,"Lluvias colapsan oriente de la CdMx. Las lluvias provocaron inundaciones de 
consideración en Venustiano Carranza, Iztapalapa y el municipio 
Nezahualcóyotl ...",http://www.milenio.com/deportes/asi-se-vivio-el-primer-dia-del-opening-night-de-la-nfl/page/18
Lluvia desquicia la Ciudad de México,Lluvia desquicia la Ciudad de México,,"Lluvia desquicia la Ciudad de México ... Azcapotzalco, Cuauhtémoc y Gustavo A. 
Madero; en la primera demarcación se registró el mayor nivel de lluvia.",https://www.milenio.com/estados/lluvia-desquicia-la-ciudad-de-mexico
"... Álvaro Obregón, Gustavo A. Madero, Cuauhtémoc y Magdalena Contreras. 
Tormenta deja autos atrapados por inundaciones en Miguel Hidalgo · CDMX.",llueve en CDMX | El Universal,,"... Álvaro Obregón, Gustavo A. Madero, Cuauhtémoc y Magdalena Contreras. 
Tormenta deja autos atrapados por inundaciones en Miguel Hidalgo · CDMX.",https://www.eluniversal.com.mx/tag/llueve-en-cdmx?page=15
"Reparten kit de salud a afectados por inundaciones en GAM · CDMX. 2017-08-
31. Hasta el momento se han aplicado 20 vacunas, repartido 50 envases de ...",lluvia en la CDMX | El Universal,,"Reparten kit de salud a afectados por inundaciones en GAM · CDMX. 2017-08-
31. Hasta el momento se han aplicado 20 vacunas, repartido 50 envases de ...",http://www.eluniversal.com.mx/tag/lluvia-en-la-cdmx?page=8
"Vialidades de Valle Dorado, Tlalnepantla, también presentaron inundaciones 
por las lluvias y por el desbordamiento del Emisor Poniente. Compartir. 
Comparte ...",Lluvias dejan bajo el agua a Tlalnepantla y Cuautitlán Izcalli,,"Vialidades de Valle Dorado, Tlalnepantla, también presentaron inundaciones 
por las lluvias y por el desbordamiento del Emisor Poniente. Compartir. 
Comparte ...",https://www.milenio.com/estados/lluvias-dejan-agua-tlalnepantla-cuautitlan-izcalli
"Un día después de la lluvia intensa que provocó caos vial y fallas en el Metro, los 
capitalinos aún padecen los estragos por las inundaciones en la Ciudad de ...",Tras la tormenta... no llega la calma en CdMx,,"Un día después de la lluvia intensa que provocó caos vial y fallas en el Metro, los 
capitalinos aún padecen los estragos por las inundaciones en la Ciudad de ...",https://www.milenio.com/estados/tras-la-tormenta-no-llega-la-calma-en-cdmx
"Declaran emergencia en Cuautitlán Izcalli por inundaciones · Edomex. 2017-09- 
... Las vialidades más afectadas por las precipitaciones se ubican en Gustavo A. 
Madero e Iztapalapa",afectaciones por lluvias | El Universal,,"Declaran emergencia en Cuautitlán Izcalli por inundaciones · Edomex. 2017-09- 
... Las vialidades más afectadas por las precipitaciones se ubican en Gustavo A. 
Madero e Iztapalapa ... Por segundo día, lluvia encharca sur de CDMX · CDMX.",https://www.eluniversal.com.mx/tag/afectaciones-por-lluvias?page=7
Se registran anegaciones por lluvias en Azcapotzalco y GAM · CDMX,anegaciones | El Universal,,"Se registran anegaciones por lluvias en Azcapotzalco y GAM · CDMX ... Lluvia 
provoca anegaciones en vialidades del oriente y norte de la CDMX · CDMX ... 
Otra vez se registran inundaciones en Cuautitlán Izcalli y Tultitlán por lluvias.",https://www.eluniversal.com.mx/tag/anegaciones
