[URL],[Titulo],[Fecha],[Snippet]
http://www.eluniversal.com.mx/notas/650431.html,El Universal - - Afecta lluvia tránsito en vías primarias,8 Ene 2010,"8 Ene 2010 ... Ciudad de México | Viernes 08 de enero de 2010 Notimex | El ... Reportes de la 
Secretaría de Seguridad Pública del Distrito Federal (SSP-DF) y ... Hasta el 
momento no se reportan inundaciones, pero sí encharcamientos de ..."
http://www.eluniversal.com.mx/notas/656537.html,DF - Baja probabilidad de lluvia en Valle de México - El Universal,5 Feb 2010,"5 Feb 2010 ... Video Graves inundaciones se registran en Iztapalapa. ... Protección Civil del DF 
informó que para este viernes la probabilidad de lluvia será ..."
http://www.eluniversal.com.mx/notas/657678.html,El Universal - - Chocan PAN y PRD por dinero para emergencias,10 Feb 2010,"10 Feb 2010 ... La ciudad de México sólo cuenta con un presupuesto en la materia por ... la 
Asamblea Legislativa del Distrito Federal (ALDF), por el presupuesto que se ... a 
los afectados por las inundaciones que se registraron por la lluvia ..."
http://www.eluniversal.com.mx/ciudad/100584.html,"DF - Emisor, la solución contra inundaciones - El Universal",3 Mar 2010,"3 Mar 2010 ... Autoridades federales, del DF y del estado de México construyen el Túnel 
Emisor Oriente (TEO) del drenaje profundo que —dicen— será la ..."
https://www.eleconomista.com.mx/politica/Vientos-derriban-16-arboles-y-una-palmera-en-el-DF-20100510-0061.html,Vientos derriban 16 árboles y una palmera en el DF | El Economista,10 May 2010,"10 May 2010 ... Vientos derriban 16 árboles y una palmera en el DF ... de este lunes en la ciudad 
de México provocaron la caída de 16 árboles y una palmera ... fin de semana no 
dejaron daños qué lamentar ni se registraron inundaciones."
https://www.eleconomista.com.mx/politica/Ebrard-descarta-gran-inundacion-en-el-DF-20100716-0050.html,Ebrard descarta “gran inundación” en el DF | El Economista,16 Jul 2010,"16 Jul 2010 ... El Gobierno del Distrito Federal descartó la posibilidad de una gran ... de la 
Ciudad de México (SACM), Ramón Aguirre Díaz, el mandatario local ... habrían 
inundaciones severas en Venustiano Carranza, Iztapalapa y una ..."
http://www.eluniversal.com.mx/notas/697303.html,El Universal - - Llueve de forma generalizada en DF,23 Jul 2010,"23 Jul 2010 ... El Gobierno del Distrito Federal se declarÃ³ en alerta permanente ante la 
emergencia ... de deslaves e inundaciones Fernando RamÃrez/ EL UNIVERSAL 
... de lluvias del DF del Sistema de Aguas de la Ciudad de México, ..."
https://www.eleconomista.com.mx/politica/Lluvias-colapsan-vialidades-en-el-DF--20100706-0015.html,Lluvias colapsan vialidades en el DF | El Economista,6 Jul 2010,"6 Jul 2010 ... México.- La intensa lluvia que sacude al Distrito Federal esta tarde tiene ... pues 
esa es la principal causa de encharcamientos e inundaciones."
https://www.eleconomista.com.mx/politica/Preven-lluvias-de-intensas-a-fuertes-en-28-estados-20100726-0037.html,Prevén lluvias de intensas a fuertes en 28 estados - El Economista,26 Jul 2010,"26 Jul 2010 ... El Sinaproc informó que en las próximas 24 horas se prevén lluvias intensas ... 
Querétaro, Hidalgo, Colima, Michoacán, México, Distrito Federal, Morelos ... 
encharcamientos y/o inundaciones, aumento en niveles de presas y ..."
https://www.eleconomista.com.mx/politica/Lluvias-afectan-100-vialidades-del-DF-20100706-0025.html,Lluvias afectan 100 vialidades del DF | El Economista,6 Jul 2010,"6 Jul 2010 ... Lluvias afectan 100 vialidades del DF ... encharcamientos y las inundaciones 
sigue siendo el problema de basura, pues impide que ... Vía Morelos, la 
autopista México-Pachuca y la vía López Portillo, para que las personas ..."
