Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2018-01-01,Alcaldia object (101),0.00,5.00,21.00,0,2020-07-12 08:37:04+00:00,
2018-01-02,Alcaldia object (101),0.00,6.00,22.50,0,2020-07-12 08:37:04+00:00,
2018-01-03,Alcaldia object (101),0.00,5.00,22.00,0,2020-07-12 08:37:04+00:00,
2018-01-04,Alcaldia object (101),0.00,5.00,22.50,0,2020-07-12 08:37:04+00:00,
2018-01-05,Alcaldia object (101),0.00,6.00,23.50,0,2020-07-12 08:37:04+00:00,
2018-01-06,Alcaldia object (101),0.00,4.00,22.50,0,2020-07-12 08:37:04+00:00,
2018-01-07,Alcaldia object (101),0.00,4.50,24.00,0,2020-07-12 08:37:04+00:00,
2018-01-08,Alcaldia object (101),0.00,4.00,23.50,0,2020-07-12 08:37:04+00:00,
2018-01-09,Alcaldia object (101),0.00,2.50,23.50,0,2020-07-12 08:37:04+00:00,
2018-01-10,Alcaldia object (101),0.00,2.50,25.50,0,2020-07-12 08:37:04+00:00,
2018-01-11,Alcaldia object (101),0.00,6.00,24.00,0,2020-07-12 08:37:04+00:00,
2018-01-12,Alcaldia object (101),0.00,2.50,21.50,0,2020-07-12 08:37:04+00:00,
2018-01-13,Alcaldia object (101),0.00,-0.50,23.50,0,2020-07-12 08:37:04+00:00,
2018-01-14,Alcaldia object (101),0.00,0.00,19.00,0,2020-07-12 08:37:04+00:00,
2018-01-15,Alcaldia object (101),0.00,0.00,21.00,0,2020-07-12 08:37:04+00:00,
2018-01-16,Alcaldia object (101),0.00,2.50,22.00,0,2020-07-12 08:37:04+00:00,
2018-01-17,Alcaldia object (101),0.00,2.00,21.00,0,2020-07-12 08:37:04+00:00,
2018-01-18,Alcaldia object (101),0.00,3.00,21.00,0,2020-07-12 08:37:04+00:00,
2018-01-19,Alcaldia object (101),0.00,4.00,22.00,0,2020-07-12 08:37:04+00:00,
2018-01-20,Alcaldia object (101),0.00,4.00,24.00,0,2020-07-12 08:37:04+00:00,
2018-01-21,Alcaldia object (101),0.00,5.00,26.00,0,2020-07-12 08:37:04+00:00,
2018-01-22,Alcaldia object (101),0.00,7.00,26.00,0,2020-07-12 08:37:04+00:00,
2018-01-23,Alcaldia object (101),0.00,7.00,25.00,0,2020-07-12 08:37:04+00:00,
2018-01-24,Alcaldia object (101),6.10,7.00,23.00,0,2020-07-12 08:37:04+00:00,
2018-01-25,Alcaldia object (101),0.00,6.50,26.00,0,2020-07-12 08:37:04+00:00,
2018-01-26,Alcaldia object (101),0.01,6.00,21.00,0,2020-07-12 08:37:04+00:00,
2018-01-27,Alcaldia object (101),0.00,8.00,24.00,0,2020-07-12 08:37:04+00:00,
2018-01-28,Alcaldia object (101),2.40,10.00,17.00,0,2020-07-12 08:37:04+00:00,
2018-01-29,Alcaldia object (101),0.01,2.00,13.50,0,2020-07-12 08:37:04+00:00,
2018-01-30,Alcaldia object (101),0.00,2.00,8.50,0,2020-07-12 08:37:04+00:00,
2018-01-31,Alcaldia object (101),0.00,3.00,22.00,0,2020-07-12 08:37:04+00:00,
2018-02-01,Alcaldia object (101),0.00,6.00,25.00,0,2020-07-12 08:37:04+00:00,
2018-02-02,Alcaldia object (101),0.00,6.00,27.00,0,2020-07-12 08:37:04+00:00,
2018-02-03,Alcaldia object (101),0.00,7.00,24.50,0,2020-07-12 08:37:05+00:00,
2018-02-04,Alcaldia object (101),0.00,8.00,26.50,0,2020-07-12 08:37:05+00:00,
2018-02-05,Alcaldia object (101),0.00,7.00,26.50,0,2020-07-12 08:37:05+00:00,
2018-02-06,Alcaldia object (101),0.00,8.00,27.00,0,2020-07-12 08:37:05+00:00,
2018-02-07,Alcaldia object (101),0.00,7.00,26.00,0,2020-07-12 08:37:05+00:00,
2018-02-08,Alcaldia object (101),0.00,8.00,22.50,0,2020-07-12 08:37:05+00:00,
2018-02-09,Alcaldia object (101),0.50,8.50,21.50,0,2020-07-12 08:37:05+00:00,
2018-02-10,Alcaldia object (101),0.00,8.50,22.00,0,2020-07-12 08:37:05+00:00,
2018-02-11,Alcaldia object (101),0.00,8.00,24.50,0,2020-07-12 08:37:05+00:00,
2018-02-12,Alcaldia object (101),0.00,9.00,26.00,0,2020-07-12 08:37:05+00:00,
2018-02-13,Alcaldia object (101),0.00,9.50,25.00,0,2020-07-12 08:37:05+00:00,
2018-02-14,Alcaldia object (101),0.00,9.00,25.50,0,2020-07-12 08:37:05+00:00,
2018-02-15,Alcaldia object (101),0.00,8.00,25.00,0,2020-07-12 08:37:05+00:00,
2018-02-16,Alcaldia object (101),0.00,8.50,27.00,0,2020-07-12 08:37:05+00:00,
2018-02-17,Alcaldia object (101),0.00,7.00,27.00,0,2020-07-12 08:37:05+00:00,
2018-02-18,Alcaldia object (101),0.00,9.00,26.00,0,2020-07-12 08:37:05+00:00,
2018-02-19,Alcaldia object (101),0.00,11.00,26.00,0,2020-07-12 08:37:05+00:00,
2018-02-20,Alcaldia object (101),0.00,9.00,25.50,0,2020-07-12 08:37:05+00:00,
2018-02-21,Alcaldia object (101),0.00,9.00,27.00,0,2020-07-12 08:37:05+00:00,
2018-02-22,Alcaldia object (101),0.00,10.00,27.50,0,2020-07-12 08:37:05+00:00,
2018-02-23,Alcaldia object (101),0.00,10.50,26.00,0,2020-07-12 08:37:05+00:00,
2018-02-24,Alcaldia object (101),0.00,10.50,27.00,0,2020-07-12 08:37:05+00:00,
2018-02-25,Alcaldia object (101),0.00,11.00,20.00,0,2020-07-12 08:37:05+00:00,
2018-02-26,Alcaldia object (101),0.00,12.00,28.50,0,2020-07-12 08:37:05+00:00,
2018-02-27,Alcaldia object (101),0.00,11.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-02-28,Alcaldia object (101),0.00,11.00,29.00,0,2020-07-12 08:37:05+00:00,
2018-03-01,Alcaldia object (101),0.00,11.00,30.00,0,2020-07-12 08:37:05+00:00,
2018-03-02,Alcaldia object (101),0.00,9.00,27.50,0,2020-07-12 08:37:05+00:00,
2018-03-03,Alcaldia object (101),0.00,8.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-03-04,Alcaldia object (101),0.00,9.00,29.00,0,2020-07-12 08:37:05+00:00,
2018-03-05,Alcaldia object (101),0.00,11.00,29.00,0,2020-07-12 08:37:05+00:00,
2018-03-06,Alcaldia object (101),0.00,12.00,29.00,0,2020-07-12 08:37:05+00:00,
2018-03-07,Alcaldia object (101),1.50,8.50,25.00,0,2020-07-12 08:37:05+00:00,
2018-03-08,Alcaldia object (101),0.00,8.00,26.50,0,2020-07-12 08:37:05+00:00,
2018-03-09,Alcaldia object (101),0.01,10.00,27.00,0,2020-07-12 08:37:05+00:00,
2018-03-10,Alcaldia object (101),0.00,10.00,28.50,0,2020-07-12 08:37:05+00:00,
2018-03-11,Alcaldia object (101),0.00,10.00,28.50,0,2020-07-12 08:37:05+00:00,
2018-03-12,Alcaldia object (101),0.00,10.00,28.50,0,2020-07-12 08:37:05+00:00,
2018-03-13,Alcaldia object (101),0.00,11.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-03-14,Alcaldia object (101),2.50,11.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-03-15,Alcaldia object (101),11.50,11.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-03-16,Alcaldia object (101),3.20,10.50,27.50,0,2020-07-12 08:37:05+00:00,
2018-03-17,Alcaldia object (101),0.00,11.00,27.50,0,2020-07-12 08:37:05+00:00,
2018-03-18,Alcaldia object (101),0.00,10.50,26.50,0,2020-07-12 08:37:05+00:00,
2018-03-19,Alcaldia object (101),0.00,10.00,29.00,0,2020-07-12 08:37:05+00:00,
2018-03-20,Alcaldia object (101),0.00,11.50,31.50,0,2020-07-12 08:37:05+00:00,
2018-03-21,Alcaldia object (101),0.00,11.00,28.50,0,2020-07-12 08:37:05+00:00,
2018-03-22,Alcaldia object (101),0.00,10.50,29.00,0,2020-07-12 08:37:05+00:00,
2018-03-23,Alcaldia object (101),0.00,9.50,27.50,0,2020-07-12 08:37:05+00:00,
2018-03-24,Alcaldia object (101),0.00,8.00,30.00,0,2020-07-12 08:37:05+00:00,
2018-03-25,Alcaldia object (101),0.00,10.00,30.00,0,2020-07-12 08:37:05+00:00,
2018-03-26,Alcaldia object (101),0.00,11.00,30.00,0,2020-07-12 08:37:05+00:00,
2018-03-27,Alcaldia object (101),0.00,13.00,30.00,0,2020-07-12 08:37:05+00:00,
2018-03-28,Alcaldia object (101),0.00,11.50,29.00,0,2020-07-12 08:37:05+00:00,
2018-03-29,Alcaldia object (101),0.00,11.00,28.00,0,2020-07-12 08:37:05+00:00,
