Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2012-01-01,Alcaldia object (101),0.00,5.50,23.00,0,2020-07-12 08:36:41+00:00,
2012-01-02,Alcaldia object (101),0.00,6.00,16.00,0,2020-07-12 08:36:41+00:00,
2012-01-03,Alcaldia object (101),0.00,6.50,17.50,0,2020-07-12 08:36:41+00:00,
2012-01-04,Alcaldia object (101),0.00,4.00,21.50,0,2020-07-12 08:36:41+00:00,
2012-01-05,Alcaldia object (101),0.00,4.00,21.00,0,2020-07-12 08:36:41+00:00,
2012-01-06,Alcaldia object (101),0.00,4.00,22.00,0,2020-07-12 08:36:41+00:00,
2012-01-07,Alcaldia object (101),0.00,4.50,22.50,0,2020-07-12 08:36:41+00:00,
2012-01-08,Alcaldia object (101),0.00,5.00,25.00,0,2020-07-12 08:36:41+00:00,
2012-01-09,Alcaldia object (101),0.00,6.00,25.00,0,2020-07-12 08:36:41+00:00,
2012-01-10,Alcaldia object (101),0.00,4.00,23.50,0,2020-07-12 08:36:41+00:00,
2012-01-11,Alcaldia object (101),0.00,6.00,25.50,0,2020-07-12 08:36:41+00:00,
2012-01-12,Alcaldia object (101),0.00,5.50,24.50,0,2020-07-12 08:36:41+00:00,
2012-01-13,Alcaldia object (101),0.00,5.50,23.00,0,2020-07-12 08:36:41+00:00,
2012-01-14,Alcaldia object (101),3.10,6.00,23.00,0,2020-07-12 08:36:41+00:00,
2012-01-15,Alcaldia object (101),2.50,8.00,20.00,0,2020-07-12 08:36:41+00:00,
2012-01-16,Alcaldia object (101),0.00,5.50,23.00,0,2020-07-12 08:36:41+00:00,
2012-01-17,Alcaldia object (101),0.00,5.00,24.50,0,2020-07-12 08:36:41+00:00,
2012-01-18,Alcaldia object (101),0.00,6.00,24.50,0,2020-07-12 08:36:41+00:00,
2012-01-19,Alcaldia object (101),0.00,6.00,24.50,0,2020-07-12 08:36:41+00:00,
2012-01-20,Alcaldia object (101),0.00,6.00,24.00,0,2020-07-12 08:36:41+00:00,
2012-01-21,Alcaldia object (101),0.00,6.00,25.00,0,2020-07-12 08:36:41+00:00,
2012-01-22,Alcaldia object (101),0.00,6.00,25.50,0,2020-07-12 08:36:41+00:00,
2012-01-23,Alcaldia object (101),0.00,8.00,26.00,0,2020-07-12 08:36:41+00:00,
2012-01-24,Alcaldia object (101),0.00,8.00,24.50,0,2020-07-12 08:36:41+00:00,
2012-01-25,Alcaldia object (101),0.00,8.00,24.50,0,2020-07-12 08:36:41+00:00,
2012-01-26,Alcaldia object (101),0.00,6.50,23.00,0,2020-07-12 08:36:41+00:00,
2012-01-27,Alcaldia object (101),0.00,6.00,24.00,0,2020-07-12 08:36:41+00:00,
2012-01-28,Alcaldia object (101),0.00,6.00,24.00,0,2020-07-12 08:36:41+00:00,
2012-01-29,Alcaldia object (101),2.00,6.50,16.50,0,2020-07-12 08:36:41+00:00,
2012-01-30,Alcaldia object (101),0.00,9.50,20.00,0,2020-07-12 08:36:41+00:00,
2012-01-31,Alcaldia object (101),1.00,9.50,21.00,0,2020-07-12 08:36:41+00:00,
2012-02-01,Alcaldia object (101),4.70,9.50,20.50,0,2020-07-12 08:36:41+00:00,
2012-02-02,Alcaldia object (101),0.50,7.00,23.50,0,2020-07-12 08:36:41+00:00,
2012-02-03,Alcaldia object (101),0.00,6.50,24.00,0,2020-07-12 08:36:41+00:00,
2012-02-04,Alcaldia object (101),0.00,6.00,24.00,0,2020-07-12 08:36:41+00:00,
2012-02-05,Alcaldia object (101),3.90,8.00,22.50,0,2020-07-12 08:36:41+00:00,
2012-02-06,Alcaldia object (101),2.30,7.00,21.00,0,2020-07-12 08:36:41+00:00,
2012-02-07,Alcaldia object (101),2.80,7.00,17.00,0,2020-07-12 08:36:41+00:00,
2012-02-08,Alcaldia object (101),0.00,8.00,20.00,0,2020-07-12 08:36:41+00:00,
2012-02-09,Alcaldia object (101),5.10,8.50,19.50,0,2020-07-12 08:36:41+00:00,
