Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2016-01-01,Alcaldia object (101),0.00,9.00,25.50,0,2020-07-12 08:36:56+00:00,
2016-01-02,Alcaldia object (101),0.00,9.00,25.00,0,2020-07-12 08:36:56+00:00,
2016-01-03,Alcaldia object (101),0.00,11.50,24.00,0,2020-07-12 08:36:56+00:00,
2016-01-04,Alcaldia object (101),3.00,8.50,19.50,0,2020-07-12 08:36:56+00:00,
2016-01-05,Alcaldia object (101),0.00,6.50,22.00,0,2020-07-12 08:36:56+00:00,
2016-01-06,Alcaldia object (101),0.00,6.50,23.00,0,2020-07-12 08:36:56+00:00,
2016-01-07,Alcaldia object (101),0.00,7.00,23.00,0,2020-07-12 08:36:56+00:00,
2016-01-08,Alcaldia object (101),0.00,6.00,23.50,0,2020-07-12 08:36:56+00:00,
2016-01-09,Alcaldia object (101),0.00,5.00,25.00,0,2020-07-12 08:36:56+00:00,
2016-01-10,Alcaldia object (101),0.00,4.50,20.50,0,2020-07-12 08:36:56+00:00,
2016-01-11,Alcaldia object (101),0.00,5.00,24.50,0,2020-07-12 08:36:56+00:00,
2016-01-12,Alcaldia object (101),0.00,5.00,17.50,0,2020-07-12 08:36:56+00:00,
2016-01-13,Alcaldia object (101),4.10,7.00,12.50,0,2020-07-12 08:36:56+00:00,
2016-01-14,Alcaldia object (101),0.00,8.00,23.00,0,2020-07-12 08:36:56+00:00,
2016-01-15,Alcaldia object (101),0.00,5.00,24.50,0,2020-07-12 08:36:57+00:00,
2016-01-16,Alcaldia object (101),0.00,6.00,20.00,0,2020-07-12 08:36:57+00:00,
2016-01-17,Alcaldia object (101),0.00,3.00,26.00,0,2020-07-12 08:36:57+00:00,
2016-01-18,Alcaldia object (101),0.00,2.50,23.50,0,2020-07-12 08:36:57+00:00,
2016-01-19,Alcaldia object (101),0.00,4.00,19.00,0,2020-07-12 08:36:57+00:00,
2016-01-20,Alcaldia object (101),0.00,5.00,21.00,0,2020-07-12 08:36:57+00:00,
2016-01-21,Alcaldia object (101),0.00,4.00,25.00,0,2020-07-12 08:36:57+00:00,
2016-01-22,Alcaldia object (101),0.00,4.00,23.00,0,2020-07-12 08:36:57+00:00,
2016-01-23,Alcaldia object (101),0.00,3.50,23.00,0,2020-07-12 08:36:57+00:00,
2016-01-24,Alcaldia object (101),0.00,3.00,23.00,0,2020-07-12 08:36:57+00:00,
2016-01-25,Alcaldia object (101),0.00,4.00,26.00,0,2020-07-12 08:36:57+00:00,
2016-01-26,Alcaldia object (101),0.00,9.00,22.50,0,2020-07-12 08:36:57+00:00,
2016-01-27,Alcaldia object (101),0.00,6.50,24.50,0,2020-07-12 08:36:57+00:00,
