Fecha,Colonia,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2017-01-01,Colonia object (1),0.00,8.00,23.50,0,2020-07-19 19:58:53+00:00,
2017-01-02,Colonia object (1),0.00,12.00,26.50,0,2020-07-19 19:58:53+00:00,
2017-01-03,Colonia object (1),0.00,11.50,25.50,0,2020-07-19 19:58:53+00:00,
2017-01-04,Colonia object (1),0.00,9.00,28.00,0,2020-07-19 19:58:53+00:00,
2017-01-05,Colonia object (1),0.00,9.00,27.00,0,2020-07-19 19:58:53+00:00,
2017-01-06,Colonia object (1),0.00,11.00,27.50,0,2020-07-19 19:58:53+00:00,
2017-01-07,Colonia object (1),0.00,7.50,24.50,0,2020-07-19 19:58:53+00:00,
2017-01-08,Colonia object (1),0.00,6.00,17.00,0,2020-07-19 19:58:53+00:00,
2017-01-09,Colonia object (1),0.00,3.50,20.50,0,2020-07-19 19:58:53+00:00,
2017-01-10,Colonia object (1),0.00,3.00,25.00,0,2020-07-19 19:58:53+00:00,
2017-01-11,Colonia object (1),0.00,3.00,24.00,0,2020-07-19 19:58:53+00:00,
2017-01-12,Colonia object (1),0.00,4.50,24.50,0,2020-07-19 19:58:53+00:00,
2017-01-13,Colonia object (1),0.00,4.50,24.50,0,2020-07-19 19:58:53+00:00,
2017-01-14,Colonia object (1),0.00,4.00,22.50,0,2020-07-19 19:58:53+00:00,
2017-01-15,Colonia object (1),0.00,4.00,26.00,0,2020-07-19 19:58:53+00:00,
2017-01-16,Colonia object (1),0.00,4.50,25.00,0,2020-07-19 19:58:53+00:00,
2017-01-17,Colonia object (1),0.00,5.00,25.00,0,2020-07-19 19:58:53+00:00,
2017-01-18,Colonia object (1),0.00,5.50,25.50,0,2020-07-19 19:58:53+00:00,
2017-01-19,Colonia object (1),0.00,7.00,25.00,0,2020-07-19 19:58:53+00:00,
2017-01-20,Colonia object (1),0.00,7.50,25.50,0,2020-07-19 19:58:53+00:00,
2017-01-21,Colonia object (1),0.00,7.50,27.00,0,2020-07-19 19:58:53+00:00,
2017-01-22,Colonia object (1),0.00,5.00,25.00,0,2020-07-19 19:58:53+00:00,
2017-01-23,Colonia object (1),0.00,4.00,26.50,0,2020-07-19 19:58:53+00:00,
2017-01-24,Colonia object (1),0.00,4.00,26.50,0,2020-07-19 19:58:53+00:00,
2017-01-25,Colonia object (1),0.00,5.50,28.00,0,2020-07-19 19:58:53+00:00,
