Mes,Precipitacion,Temp Min,Temp Max
12,0.00,1.00,25.00
11,0.00,9.00,27.00
5,0.00,13.50,31.50
4,0.50,10.50,28.00
4,0.00,9.00,27.00
2,0.00,2.50,24.50
6,2.00,13.50,25.00
8,7.80,12.00,26.00
3,0.00,11.00,26.50
9,2.50,15.00,22.50
9,0.00,8.00,22.00
7,0.00,12.00,26.00
11,0.00,13.00,28.50
2,0.00,7.00,27.00
8,0.00,12.50,27.00
4,0.00,9.50,27.00
6,20.20,14.00,26.00
10,0.00,11.00,23.50
1,0.00,-3.00,25.00
4,0.00,9.00,26.00
12,0.00,8.00,26.50
10,0.00,11.50,26.50
1,0.00,4.50,20.50
8,0.00,8.00,23.00
4,1.30,10.50,27.00
10,0.00,11.00,27.00
3,0.00,9.00,29.00
6,0.00,13.00,27.00
10,0.00,9.00,23.50
12,0.00,2.00,23.00
5,0.30,11.00,25.00
12,0.00,4.00,24.00
2,0.00,2.00,25.00
10,0.00,8.50,22.00
9,0.00,12.50,28.00
10,0.00,14.50,20.50
8,6.80,13.00,26.50
7,0.00,14.50,25.00
5,0.00,13.00,30.00
3,9.00,10.00,24.00
6,0.00,14.50,27.00
7,1.40,13.00,25.00
8,4.00,13.00,22.00
2,0.00,6.00,24.50
7,7.50,12.50,26.50
11,1.50,11.50,18.00
8,23.90,14.00,24.00
5,0.00,10.00,30.00
12,0.00,8.00,26.00
8,1.50,13.00,26.00
9,3.30,14.50,25.50
6,1.00,15.00,25.00
5,0.70,13.00,26.00
7,5.00,13.00,24.50
5,1.40,13.50,30.50
7,3.50,11.00,26.00
3,1.70,11.50,23.50
11,0.00,13.00,23.00
2,0.00,7.50,26.00
5,4.80,13.00,29.00
3,4.60,8.00,21.50
1,0.00,5.00,22.00
6,0.00,13.00,24.00
4,0.00,11.50,28.00
7,6.50,13.50,20.00
12,0.00,4.00,23.00
6,11.30,14.50,22.50
4,1.00,13.00,26.00
5,5.90,12.50,29.00
1,0.00,8.50,27.50
1,0.00,7.50,21.00
1,0.00,3.50,23.00
